date,veltroni,bindi,letta,ds,pd,prodi,alema,rutelli,berlusconi,bossi,fini,casini,papa,arab,iran,israel,india,clima,gas,putin,bors
2007/10/06,0.83333333,0.10416667,0.08333333,0.27083333,0.35416667,3.33333333,1.22916667,0.14583333,1.29166667,0.1875,0.25,0.3125,0.52083333,0.27083333,0.0625,0.3125,0.33333333,0.08333333,0.125,0.08333333,0.10416667
2007/10/07,1.22916667,0.08333333,0.08333333,0.3125,0.83333333,2.75,1.22916667,0.125,2.16666667,0.1875,0.3125,0.27083333,0.54166667,0.25,0.0625,0.27083333,0.29166667,0.0625,0.14583333,0.10416667,0.10416667
2007/10/08,1.85416667,0.16666667,0.125,0.25,0.33333333,2.0625,1.25,0.14583333,2.02083333,0.10416667,0.1875,0.39583333,0.64583333,0.25,0.08333333,0.27083333,0.27083333,1.08333333,0.125,0.08333333,0.10416667
2007/10/09,1.54166667,2.1875,0.0625,0.25,0.70833333,2.25,1.25,0.14583333,1.25,0.08333333,0.20833333,0.3125,0.52083333,0.25,0.125,0.25,0.27083333,0.10416667,0.08333333,0.08333333,0.08333333
2007/10/10,0.625,0.27083333,0.08333333,0.20833333,0.58333333,3.125,1.29166667,0.20833333,1.125,0.08333333,0.16666667,0.27083333,0.5,0.25,0.02083333,0.27083333,0.3125,0.125,0.125,0.10416667,0.10416667
2007/10/11,0.54166667,0.1875,0.0625,0.1875,0.4375,2.54166667,1.25,0.14583333,1.125,0.08333333,0.16666667,0.27083333,0.5,0.25,0.14583333,0.29166667,0.4375,0.125,0.08333333,0.22916667,0.25
2007/10/12,1.36458333,0.14583333,0.57291667,0.23958333,0.71875,2.97916667,1.3125,0.14583333,1.9375,0.10416667,0.44791667,0.3125,0.58333333,0.25,0.10416667,0.25,0.35416667,0.27083333,0.0625,0.63541667,0.14583333
2007/10/13,0.45833333,0.08333333,1.52083333,0.25,0.70833333,3.20833333,1.25,0.14583333,1.0625,0.33333333,0.39583333,0.25,0.5625,0.25,0.10416667,0.22916667,0.39583333,0.29166667,0.16666667,0.25,0.10416667
2007/10/14,1.3125,0.95833333,1.02083333,0.29166667,1.39583333,4.52083333,1.25,0.16666667,1.0625,0.25,1.625,0.35416667,0.60416667,0.25,0.02083333,0.22916667,0.39583333,0.10416667,0.14583333,0.22916667,0.08333333
2007/10/15,2.04166667,1.04166667,1.14583333,0.33333333,2.5,2.35416667,1.22916667,0.14583333,1.10416667,0.14583333,0.25,0.27083333,0.75,0.25,0.1875,0.25,0.35416667,0.125,0.125,0.29166667,0.08333333
2007/10/16,2.72916667,0.29166667,0.35416667,0.41666667,2.33333333,4.70833333,1.375,0.29166667,1,0.125,0.1875,0.25,0.5625,0.27083333,1.25,0.25,0.29166667,0.08333333,0.10416667,1.70833333,0.16666667
2007/10/17,0.83333333,0.08333333,0.0625,0.4375,1.22916667,1.75,1.22916667,0.16666667,1.66666667,0.08333333,0.1875,0.27083333,0.5625,0.25,0.125,0.27083333,0.39583333,0.08333333,0.29166667,0.5,0.39583333
2007/10/18,0.5625,0.0625,0.1875,0.33333333,0.5625,1.58333333,1.22916667,0.41666667,1.16666667,0.14583333,0.20833333,0.25,0.64583333,0.25,0.16666667,0.33333333,0.33333333,0.22916667,0.4375,0.3125,0.125
2007/10/19,0.5625,0.0625,0.1875,0.3125,0.6875,1.9375,1.25,0.22916667,1.04166667,0.08333333,0.10416667,0.22916667,1.54166667,0.25,0.04166667,0.25,0.3125,0.08333333,0.1875,0.45833333,0.10416667
2007/10/20,0.625,0.04166667,0.04166667,0.22916667,0.29166667,2.16666667,1.25,0.22916667,1.45833333,0.08333333,0.16666667,0.22916667,0.79166667,0.25,0.04166667,0.22916667,0.27083333,0.0625,0.14583333,0.16666667,0.10416667
2007/10/21,0.60416667,0.04166667,0.0625,0.20833333,0.4375,3.125,1.375,0.22916667,1.5625,0.08333333,0.16666667,0.22916667,0.85416667,0.25,0.58333333,0.27083333,0.29166667,0.16666667,0.125,0.3125,0.14583333
2007/10/22,0.25,0.08333333,0.04166667,0.20833333,0.20833333,2.22916667,1.22916667,0.35416667,0.97916667,0.08333333,0.125,0.25,1.35416667,0.25,0.20833333,0.33333333,0.29166667,0.0625,0.0625,0.04166667,0.20833333
2007/10/23,0.35416667,0.02083333,0.04166667,0.20833333,0.20833333,2.79166667,1.22916667,0.33333333,1.5,0.20833333,0.20833333,0.27083333,0.625,0.25,0.02083333,0.3125,0.3125,0.0625,0.04166667,0.02083333,0.14583333
