"date ",china,india,iraq,bush,russia,arab,israel,korea,japan,hous,right,cheap,emerg,climat,putin
2007/09/27,1.31818182,0.77272727,1.22727273,0.54545455,0.95454545,0.86363636,0.86363636,0.77272727,0.81818182,1.54545455,0.90909091,0.13636364,0.31818182,0.45454545,0.04545455
2007/09/28,1.04545455,1,0.63636364,0.36363636,0.77272727,0.81818182,0.63636364,0.81818182,0.54545455,1.59090909,0.90909091,0.09090909,0.22727273,0.36363636,0.04545455
2007/09/29,1.18181818,1,0.77272727,0.63636364,0.86363636,0.77272727,0.63636364,0.77272727,0.54545455,1.63636364,1.13636364,0.09090909,0.36363636,0.45454545,0.04545455
2007/09/30,0.86363636,0.77272727,0.54545455,0.45454545,0.72727273,0.81818182,0.72727273,0.77272727,0.59090909,1.5,1.04545455,0.09090909,0.40909091,0.36363636,0.04545455
2007/10/01,0.95454545,0.81818182,0.59090909,0.22727273,0.86363636,1,0.77272727,0.90909091,0.90909091,1.54545455,1.04545455,0.09090909,0.36363636,0.22727273,0.09090909
2007/10/02,0.86363636,0.72727273,0.86363636,0.18181818,0.86363636,0.81818182,0.77272727,0.86363636,0.68181818,1.54545455,0.90909091,0.09090909,0.31818182,0.18181818,0.77272727
2007/10/03,0.72727273,0.90909091,1.09090909,0.36363636,1.09090909,0.81818182,0.77272727,1.63636364,0.54545455,1.59090909,1,0.04545455,0.31818182,0.18181818,0.45454545
2007/10/04,0.77272727,0.77272727,0.54545455,0.18181818,1.09090909,0.81818182,0.68181818,1.09090909,0.59090909,1.40909091,0.95454545,0.04545455,0.27272727,0.18181818,0.5
2007/10/05,0.81818182,0.81818182,0.81818182,0.13636364,0.81818182,0.81818182,0.63636364,1,0.63636364,1.68181818,1.13636364,0.04545455,0.36363636,0.22727273,0.18181818
2007/10/06,0.81818182,0.63636364,0.81818182,0.27272727,0.95454545,0.81818182,0.68181818,0.81818182,0.59090909,1.81818182,1,0.04545455,0.27272727,0.27272727,0.13636364
2007/10/07,0.95454545,0.81818182,0.5,0.45454545,0.90909091,0.77272727,0.54545455,0.95454545,0.59090909,1.59090909,1.18181818,0.04545455,0.22727273,0.22727273,0.18181818
2007/10/08,1.40909091,0.77272727,0.90909091,0.27272727,0.68181818,0.77272727,0.63636364,0.90909091,0.54545455,1.59090909,1,0.04545455,0.36363636,0.18181818,0.13636364
2007/10/09,1.04545455,0.81818182,0.95454545,0.18181818,0.77272727,0.77272727,0.72727273,0.72727273,0.59090909,1.09090909,1.09090909,0.04545455,0.40909091,0.5,0.13636364
2007/10/10,0.90909091,1.04545455,0.72727273,0.18181818,1.18181818,0.77272727,0.63636364,0.54545455,0.54545455,1.40909091,1.22727273,0.04545455,0.36363636,0.59090909,0.31818182
2007/10/11,1.09090909,0.68181818,1.45454545,0.22727273,1.04545455,0.77272727,0.77272727,0.54545455,0.63636364,1.36363636,1.18181818,0.04545455,0.31818182,0.36363636,0.5
2007/10/12,1.18181818,0.77272727,1.45454545,0.22727273,0.86363636,0.81818182,0.59090909,0.63636364,0.54545455,1.77272727,1.04545455,0.04545455,0.40909091,0.5,0.36363636
2007/10/13,1.09090909,0.86363636,0.95454545,0.27272727,0.72727273,0.77272727,0.72727273,0.59090909,0.59090909,1.40909091,1.04545455,0.04545455,0.27272727,0.5,0.54545455
2007/10/14,1.27272727,0.86363636,0.77272727,0.22727273,0.86363636,0.77272727,0.63636364,0.54545455,0.59090909,1.59090909,1.45454545,0.04545455,0.31818182,0.40909091,0.45454545
2007/10/15,1.77272727,0.95454545,0.81818182,0.27272727,0.68181818,0.81818182,0.81818182,0.54545455,0.59090909,1.36363636,1.09090909,0.04545455,0.5,0.22727273,1.31818182
2007/10/16,1.18181818,0.72727273,1.18181818,0.27272727,0.63636364,0.86363636,0.95454545,0.59090909,0.59090909,1.31818182,1.31818182,0.04545455,0.31818182,0.27272727,0.86363636
2007/10/17,1.54545455,1.09090909,1.72727273,0.36363636,0.68181818,0.77272727,0.63636364,0.54545455,0.63636364,1.68181818,1.5,0.04545455,0.5,0.18181818,1.59090909
2007/10/18,1.59090909,1.04545455,1.45454545,0.54545455,0.90909091,0.81818182,0.63636364,0.54545455,0.63636364,2.36363636,1.18181818,0.04545455,0.31818182,0.18181818,0.5
2007/10/19,1.09090909,1,1.09090909,0.36363636,0.95454545,0.77272727,0.59090909,0.54545455,0.63636364,2.5,1.22727273,0.13636364,0.27272727,0.18181818,0.63636364
2007/10/20,1.13636364,0.68181818,0.95454545,0.27272727,0.77272727,0.77272727,0.59090909,0.54545455,0.54545455,1.95454545,1.36363636,0.09090909,0.36363636,0.13636364,0.22727273
2007/10/21,1.09090909,0.81818182,0.90909091,0.18181818,0.63636364,0.77272727,0.63636364,0.54545455,0.54545455,1.86363636,1.04545455,0.09090909,0.36363636,0.13636364,0.22727273
2007/10/22,1.5,1,0.59090909,0.18181818,0.59090909,0.81818182,0.54545455,0.54545455,0.68181818,2.13636364,1.27272727,0.09090909,0.36363636,0.18181818,0.04545455
2007/10/23,1.63636364,1.04545455,1.86363636,0.36363636,0.63636364,0.81818182,0.59090909,0.59090909,0.72727273,1.59090909,1.36363636,0.09090909,0.59090909,0.18181818,0.31818182
